id,make_brand,model,size
1,Airman,HM07S,180x36x72
2,Airman,"AX 08",180x37x72
3,Airman,"AX 08-2",180x37x72
4,Airman,"AX 10u",180x40x72
5,Airman,"HM 10 72",230x42x72
6,Airman,"HM 10G",230x42x72
7,Airman,"HM 10SG",230x42x72
8,Airman,"HM 15 72",230x42x72
9,Airman,"HM 15S",230x42x72
10,Airman,"AX 12",230x31x96
11,Airman,"AX 15",230x31x96
12,Airman,"AX 15-2",230x31x96
13,Airman,"AXC 12",230x31x96
14,Airman,"AXC 15",230x31x96
15,Airman,AX16,230x33x96
16,Airman,"AX 16-2",230x33x96
17,Airman,"HM 1096",230x33x96
18,Airman,"HM 15 96",230x33x96
19,Airman,AX20UR,250x78x52.5
20,Airman,"AX 25",300x76x52.5N
21,Airman,"AX 25-1",300x76x52.5N
22,Airman,"AX 25-2",300x76x52.5N
23,Airman,AX30UR-2,300x76x52.5N
24,Airman,"AX 35-1",300x84x52.5N
25,Airman,"AX 40",400x72x72.5W
26,Airman,"AX 40-2",400x72x72.5W
27,Airman,"AX 40u",400x72x72.5W
28,Airman,"AX 45",400x72x72.5W
29,Airman,"AX 45-2",400x72x72.5W
30,Airman,"AX 50u",400x72x72.5W
31,Airman,"HM 45",400x72x72.5W
32,Airman,"HM 45-2",400x72x72.5W
33,Airman,"HM 50",400x72x72.5W
34,Airman,"AX 58",400x74x72.5W
35,Aichi,DM10,230x43x72
36,Aichi,RV040,200x42x72
37,Aichi,RV041,200x42x72
38,Aichi,RV051,230x48x72
39,Aichi,RV04A,200x49x72
40,Aichi,RV042,230x50x72
41,Aichi,RV060,230x56x72
42,Aichi,RV061,230x56x72
43,Aichi,FR300,300x84x52.5N
44,Aichi,FR300,320x82x54W
45,AllTrack,AT800,600x80x100
46,Astec,DD6,400x74x72.5W
47,Astec,DD8,400x74x72.5W
48,Astec,DD2024,280x56x72
49,Astec,DD3238,300x92x52.5N
50,Astec,DD9014,450x92x71
51,Atlas,100,180x41x72
52,Atlas,100B,180x41x72
53,Atlas,CT,180x41x72
54,Atlas,CT100,180x41x72
55,Atlas,404-2,230x33x96
56,Atlas,804,320x43x100
57,Atlas,804R,320x43x100
58,ASV+Terex,RT30,280x37x101.6SNX
59,ASV+Terex,RC30,280x37x101.6SNX
60,ASV+Terex,PT30,280x37x101.6SNX
61,ASV+Terex,PT50,381x42x100.5TNS
62,ASV+Terex,PT60,381x42x100.5TNS
63,ASV+Terex,RC50,381x42x100.5TNS
64,ASV+Terex,RC60,381x42x100.5TNS
65,ASV+Terex,ST50,381x42x101.6
66,ASV+Terex,VT70,381x42x100.5TNS
